action,index,row,original,new
insert,0,"{'station name': 'DOKA CRS SS', 'cost center': 'NG111S0307', 'country code': 'NG'}",,
insert,1,"{'station name': 'SOUTH BRIDGE', 'cost center': 'NG111S0313', 'country code': 'NG'}",,
insert,2,"{'station name': 'RUMUOBIAKANI', 'cost center': 'NG111S0206', 'country code': 'NG'}",,
insert,3,"{'station name': 'JS TARKA', 'cost center': 'NG111S0263', 'country code': 'NG'}",,
insert,4,"{'station name': 'SULTAN ABUBAKAR', 'cost center': 'NG111S0268', 'country code': 'NG'}",,
insert,5,"{'station name': 'WUSE 1', 'cost center': 'NG111S0271', 'country code': 'NG'}",,
insert,6,"{'station name': 'TIPPER GARAGE S/S', 'cost center': 'NG111S0571', 'country code': 'NG'}",,
insert,7,"{'station name': 'CALABAR RD SS', 'cost center': 'NG111S0159', 'country code': 'NG'}",,
insert,8,"{'station name': 'ZOO ROAD', 'cost center': 'NG111S0354', 'country code': 'NG'}",,
insert,9,"{'station name': 'ONIGBAGBO', 'cost center': 'NG111S0063', 'country code': 'NG'}",,
insert,12,"{'station name': 'SURA', 'cost center': 'NG111S0051', 'country code': 'NG'}",,
insert,17,"{'station name': 'WUSE 2', 'cost center': 'NG111S0272', 'country code': 'NG'}",,
insert,19,"{'station name': 'LAGOS ROAD', 'cost center': 'NG111S0231', 'country code': 'NG'}",,
insert,20,"{'station name': 'ELEIYELE I S/S', 'cost center': 'NG111S0124', 'country code': 'NG'}",,
insert,21,"{'station name': 'IGBOBI', 'cost center': 'NG111S0040', 'country code': 'NG'}",,
insert,22,"{'station name': 'OJOTA 2', 'cost center': 'NG111S0043', 'country code': 'NG'}",,
insert,23,"{'station name': 'CHALLENGE', 'cost center': 'NG111S0064', 'country code': 'NG'}",,
insert,24,"{'station name': 'KURUDU SS', 'cost center': 'NG111S0304', 'country code': 'NG'}",,
insert,25,"{'station name': 'LUGBE', 'cost center': 'NG111S0467', 'country code': 'NG'}",,
insert,26,"{'station name': 'MARARABA 2', 'cost center': 'NG111S0496', 'country code': 'NG'}",,
insert,27,"{'station name': 'NEW KARU', 'cost center': 'NG111S0267', 'country code': 'NG'}",,
insert,28,"{'station name': 'TOTAL HOUSE', 'cost center': 'NG111S0269', 'country code': 'NG'}",,
insert,30,"{'station name': 'GWARINPA', 'cost center': 'NG111S0615', 'country code': 'NG'}",,
insert,32,"{'station name': 'POST OFFICE ROAD LOKOJA', 'cost center': 'NG111S0287', 'country code': 'NG'}",,
