[2025-10-07T18:11:07.346+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-07T18:08:23.502337+00:00 [queued]>
[2025-10-07T18:11:07.385+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-07T18:08:23.502337+00:00 [queued]>
[2025-10-07T18:11:07.386+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-07T18:11:07.441+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-07 18:08:23.502337+00:00
[2025-10-07T18:11:07.462+0000] {standard_task_runner.py:60} INFO - Started process 2188 to run task
[2025-10-07T18:11:07.470+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-07T18:08:23.502337+00:00', '--job-id', '311', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmp4p9yp5sb']
[2025-10-07T18:11:07.479+0000] {standard_task_runner.py:88} INFO - Job 311: Subtask load_to_dw_scd2
[2025-10-07T18:11:07.547+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-07T18:11:07.641+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-07T18:08:23.502337+00:00 [running]> on host b96e3b23df3a
[2025-10-07T18:11:07.846+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-07T18:08:23.502337+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-07T18:08:23.502337+00:00'
[2025-10-07T18:11:09.483+0000] {scd2_loader.py:238} INFO - 📂 Traitement du fichier: Country_code.xlsx
[2025-10-07T18:11:11.967+0000] {scd2_loader.py:278} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code.xlsx::0
[2025-10-07T18:11:12.153+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-07T18:11:12.156+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-07T18:11:12.159+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-07T18:11:12.161+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-07T18:11:12.164+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-07T18:11:12.166+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-07T18:11:12.169+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-07T18:11:12.171+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-07T18:11:12.173+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-07T18:11:12.175+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-07T18:11:12.177+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-07T18:11:12.179+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-07T18:11:12.181+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-07T18:11:12.184+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-07T18:11:12.186+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-07T18:11:12.187+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-07T18:11:12.189+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-07T18:11:12.191+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-07T18:11:12.193+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-07T18:11:12.194+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-07T18:11:12.196+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-07T18:11:12.198+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-07T18:11:12.200+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-07T18:11:12.201+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-07T18:11:12.204+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-07T18:11:12.207+0000] {scd2_loader.py:187} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZM',)
