[2025-10-08T18:58:44.417+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-08T18:55:33.670596+00:00 [queued]>
[2025-10-08T18:58:44.442+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-08T18:55:33.670596+00:00 [queued]>
[2025-10-08T18:58:44.445+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-08T18:58:44.518+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-08 18:55:33.670596+00:00
[2025-10-08T18:58:44.529+0000] {standard_task_runner.py:60} INFO - Started process 288 to run task
[2025-10-08T18:58:44.544+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-08T18:55:33.670596+00:00', '--job-id', '327', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpl5q8w7j5']
[2025-10-08T18:58:44.555+0000] {standard_task_runner.py:88} INFO - Job 327: Subtask load_to_dw_scd2
[2025-10-08T18:58:44.612+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-08T18:58:44.725+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-08T18:55:33.670596+00:00 [running]> on host b9b1be6abb4a
[2025-10-08T18:58:44.934+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-08T18:55:33.670596+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-08T18:55:33.670596+00:00'
[2025-10-08T18:58:47.186+0000] {scd2_loader.py:253} INFO - 📂 Traitement du fichier: Country_code.xlsx
[2025-10-08T18:58:49.705+0000] {scd2_loader.py:295} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code.xlsx::0
[2025-10-08T18:58:49.877+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-08T18:58:49.880+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-08T18:58:49.882+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-08T18:58:49.884+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-08T18:58:49.886+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-08T18:58:49.889+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-08T18:58:49.892+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-08T18:58:49.896+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-08T18:58:49.897+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-08T18:58:49.900+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-08T18:58:49.902+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-08T18:58:49.904+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-08T18:58:49.906+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-08T18:58:49.908+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-08T18:58:49.911+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-08T18:58:49.915+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-08T18:58:49.917+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-08T18:58:49.920+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-08T18:58:49.922+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-08T18:58:49.924+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-08T18:58:49.926+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-08T18:58:49.929+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-08T18:58:49.932+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-08T18:58:49.934+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-08T18:58:49.936+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-08T18:58:49.937+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZM',)
[2025-10-08T18:58:49.939+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CM',)
[2025-10-08T18:58:49.941+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CD',)
[2025-10-08T18:58:49.942+0000] {scd2_loader.py:202} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GA',)
