[2025-10-09T19:28:16.675+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-09T19:25:15.956559+00:00 [queued]>
[2025-10-09T19:28:16.707+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-09T19:25:15.956559+00:00 [queued]>
[2025-10-09T19:28:16.709+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-09T19:28:16.758+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-09 19:25:15.956559+00:00
[2025-10-09T19:28:16.777+0000] {standard_task_runner.py:60} INFO - Started process 1339 to run task
[2025-10-09T19:28:16.784+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-09T19:25:15.956559+00:00', '--job-id', '356', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmp7pbhk7z7']
[2025-10-09T19:28:16.789+0000] {standard_task_runner.py:88} INFO - Job 356: Subtask load_to_dw_scd2
[2025-10-09T19:28:16.878+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-09T19:28:17.056+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-09T19:25:15.956559+00:00 [running]> on host 0ccfb9f9695b
[2025-10-09T19:28:17.358+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-09T19:25:15.956559+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-09T19:25:15.956559+00:00'
[2025-10-09T19:28:19.887+0000] {scd2_loader.py:257} INFO - 📂 Traitement dynamique du fichier: Extract_Station_20251009.xlsx pour map_key=extract_station
[2025-10-09T19:28:23.782+0000] {scd2_loader.py:285} WARNING - 404 lignes ignorées (clés manquantes) dans Extract_Station_20251009.xlsx::Sheet1
[2025-10-09T19:28:24.716+0000] {scd2_loader.py:149} INFO - 🔑 Pour dim_stations on utilise la clé calculée 'uniq_business'
[2025-10-09T19:28:24.829+0000] {scd2_loader.py:156} WARNING - 633 lignes ignorées dans dim_stations (clés manquantes ou doublons)
[2025-10-09T19:28:25.426+0000] {scd2_loader.py:113} INFO - ✅ Table `dim_stations` créée avec clés uniques: `uniq_business`
[2025-10-09T19:28:26.601+0000] {scd2_loader.py:226} INFO - [SCD2] dim_stations → inserts=4165, updates_closed=0
[2025-10-09T19:28:26.606+0000] {scd2_loader.py:257} INFO - 📂 Traitement dynamique du fichier: Invariants_details_20251009.xlsx pour map_key=invariants_details
[2025-10-09T19:28:27.097+0000] {scd2_loader.py:156} WARNING - 661 lignes ignorées dans dim_invariants_details (clés manquantes ou doublons)
