[2025-10-20T22:16:22.037+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:09:24.084565+00:00 [queued]>
[2025-10-20T22:16:22.062+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:09:24.084565+00:00 [queued]>
[2025-10-20T22:16:22.063+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-20T22:16:22.102+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-20 22:09:24.084565+00:00
[2025-10-20T22:16:22.111+0000] {standard_task_runner.py:60} INFO - Started process 959 to run task
[2025-10-20T22:16:22.119+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-20T22:09:24.084565+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpp5_kzx0p']
[2025-10-20T22:16:22.131+0000] {standard_task_runner.py:88} INFO - Job 38: Subtask load_to_dw_scd2
[2025-10-20T22:16:22.213+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-20T22:16:22.391+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:09:24.084565+00:00 [running]> on host 436d1e220711
[2025-10-20T22:16:22.608+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T22:09:24.084565+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-20T22:09:24.084565+00:00'
[2025-10-20T22:16:24.626+0000] {scd2_loader.py:257} INFO - Traitement dynamique du fichier: Country_code_20251020.xlsx pour map_key=country_code
[2025-10-20T22:16:26.306+0000] {scd2_loader.py:303} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251020.xlsx::Sheet1
[2025-10-20T22:16:26.464+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-20T22:16:26.467+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-20T22:16:26.469+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-20T22:16:26.471+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-20T22:16:26.474+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-20T22:16:26.476+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-20T22:16:26.479+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-20T22:16:26.482+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-20T22:16:26.485+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-20T22:16:26.487+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-20T22:16:26.490+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-20T22:16:26.493+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-20T22:16:26.495+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-20T22:16:26.498+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-20T22:16:26.500+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-20T22:16:26.502+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-20T22:16:26.505+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-20T22:16:26.507+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-20T22:16:26.510+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-20T22:16:26.512+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-20T22:16:26.514+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-20T22:16:26.516+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-20T22:16:26.519+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-20T22:16:26.521+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-20T22:16:26.523+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-20T22:16:26.526+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZM',)
[2025-10-20T22:16:26.528+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CM',)
[2025-10-20T22:16:26.529+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CG',)
[2025-10-20T22:16:26.531+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GA',)
[2025-10-20T22:16:26.533+0000] {scd2_loader.py:193} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GQ',)
