[2025-10-20T22:50:04.169+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:48:54.101564+00:00 [queued]>
[2025-10-20T22:50:04.190+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:48:54.101564+00:00 [queued]>
[2025-10-20T22:50:04.191+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-20T22:50:04.231+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-20 22:48:54.101564+00:00
[2025-10-20T22:50:04.244+0000] {standard_task_runner.py:60} INFO - Started process 1338 to run task
[2025-10-20T22:50:04.259+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-20T22:48:54.101564+00:00', '--job-id', '45', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpyw4_sm74']
[2025-10-20T22:50:04.266+0000] {standard_task_runner.py:88} INFO - Job 45: Subtask load_to_dw_scd2
[2025-10-20T22:50:04.329+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-20T22:50:04.517+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:48:54.101564+00:00 [running]> on host 436d1e220711
[2025-10-20T22:50:05.202+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T22:48:54.101564+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-20T22:48:54.101564+00:00'
[2025-10-20T22:50:08.537+0000] {scd2_loader.py:259} INFO - Traitement dynamique du fichier: Country_code_20251020.xlsx pour map_key=country_code
[2025-10-20T22:50:10.990+0000] {scd2_loader.py:305} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251020.xlsx::Sheet1
[2025-10-20T22:50:11.140+0000] {scd2_loader.py:195} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-20T22:50:11.144+0000] {scd2_loader.py:195} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-20T22:50:11.147+0000] {scd2_loader.py:195} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-20T22:50:11.151+0000] {scd2_loader.py:195} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-20T22:50:11.155+0000] {scd2_loader.py:195} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-20T22:50:11.158+0000] {scd2_loader.py:195} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MG',)
