[2025-10-20T22:56:57.201+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:55:23.698349+00:00 [queued]>
[2025-10-20T22:56:57.221+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:55:23.698349+00:00 [queued]>
[2025-10-20T22:56:57.222+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-20T22:56:57.256+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-20 22:55:23.698349+00:00
[2025-10-20T22:56:57.267+0000] {standard_task_runner.py:60} INFO - Started process 1455 to run task
[2025-10-20T22:56:57.283+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-20T22:55:23.698349+00:00', '--job-id', '51', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpkeq1rgt4']
[2025-10-20T22:56:57.289+0000] {standard_task_runner.py:88} INFO - Job 51: Subtask load_to_dw_scd2
[2025-10-20T22:56:57.349+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-20T22:56:57.540+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T22:55:23.698349+00:00 [running]> on host 436d1e220711
[2025-10-20T22:56:57.728+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T22:55:23.698349+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-20T22:55:23.698349+00:00'
[2025-10-20T22:57:00.395+0000] {scd2_loader.py:264} INFO - Traitement dynamique du fichier: Country_code_20251020.xlsx pour map_key=country_code
[2025-10-20T22:57:02.134+0000] {scd2_loader.py:311} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251020.xlsx::Sheet1
[2025-10-20T22:57:02.292+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-20T22:57:02.294+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-20T22:57:02.296+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-20T22:57:02.299+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-20T22:57:02.301+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-20T22:57:02.303+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-20T22:57:02.305+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-20T22:57:02.307+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-20T22:57:02.308+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-20T22:57:02.310+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-20T22:57:02.313+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-20T22:57:02.314+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-20T22:57:02.316+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-20T22:57:02.317+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-20T22:57:02.319+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-20T22:57:02.321+0000] {scd2_loader.py:200} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CE',)
