[2025-10-20T23:04:17.442+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T23:02:46.405274+00:00 [queued]>
[2025-10-20T23:04:17.469+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T23:02:46.405274+00:00 [queued]>
[2025-10-20T23:04:17.470+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-20T23:04:17.519+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-20 23:02:46.405274+00:00
[2025-10-20T23:04:17.539+0000] {standard_task_runner.py:60} INFO - Started process 1572 to run task
[2025-10-20T23:04:17.552+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-20T23:02:46.405274+00:00', '--job-id', '57', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmphfn5vc4q']
[2025-10-20T23:04:17.558+0000] {standard_task_runner.py:88} INFO - Job 57: Subtask load_to_dw_scd2
[2025-10-20T23:04:17.609+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-20T23:04:17.708+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-20T23:02:46.405274+00:00 [running]> on host 436d1e220711
[2025-10-20T23:04:17.862+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T23:02:46.405274+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-20T23:02:46.405274+00:00'
[2025-10-20T23:04:19.767+0000] {scd2_loader.py:288} INFO - Traitement dynamique du fichier: Country_code_20251020.xlsx pour map_key=country_code
[2025-10-20T23:04:21.549+0000] {scd2_loader.py:335} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251020.xlsx::Sheet1
[2025-10-20T23:04:21.653+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-20T23:04:21.655+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-20T23:04:21.656+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-20T23:04:21.658+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-20T23:04:21.659+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-20T23:04:21.660+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-20T23:04:21.661+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-20T23:04:21.662+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-20T23:04:21.663+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-20T23:04:21.664+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-20T23:04:21.665+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-20T23:04:21.666+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-20T23:04:21.668+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-20T23:04:21.669+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-20T23:04:21.670+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-20T23:04:21.671+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-20T23:04:21.672+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-20T23:04:21.674+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-20T23:04:21.676+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-20T23:04:21.677+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-20T23:04:21.679+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-20T23:04:21.680+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-20T23:04:21.681+0000] {scd2_loader.py:211} INFO - ⚠️ Doublon ignoré pour dim_pays clé=('AO',)
