[2025-10-21T18:07:32.424+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:03:50.532868+00:00 [queued]>
[2025-10-21T18:07:32.532+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:03:50.532868+00:00 [queued]>
[2025-10-21T18:07:32.535+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-21T18:07:32.636+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-21 18:03:50.532868+00:00
[2025-10-21T18:07:32.696+0000] {standard_task_runner.py:60} INFO - Started process 6550 to run task
[2025-10-21T18:07:32.742+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-21T18:03:50.532868+00:00', '--job-id', '76', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmp3itkjltk']
[2025-10-21T18:07:32.782+0000] {standard_task_runner.py:88} INFO - Job 76: Subtask load_to_dw_scd2
[2025-10-21T18:07:32.926+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-21T18:07:33.508+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:03:50.532868+00:00 [running]> on host 436d1e220711
[2025-10-21T18:07:34.131+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T18:03:50.532868+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-21T18:03:50.532868+00:00'
[2025-10-21T18:07:40.889+0000] {scd2_loader.py:287} INFO - Traitement dynamique du fichier: Country_code_20251021.xlsx pour map_key=country_code
[2025-10-21T18:07:46.169+0000] {scd2_loader.py:333} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251021.xlsx::Sheet1
[2025-10-21T18:07:46.464+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-21T18:07:46.466+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-21T18:07:46.469+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-21T18:07:46.473+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-21T18:07:46.475+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-21T18:07:46.477+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-21T18:07:46.480+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-21T18:07:46.482+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-21T18:07:46.484+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-21T18:07:46.487+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-21T18:07:46.489+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-21T18:07:46.491+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-21T18:07:46.494+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-21T18:07:46.496+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-21T18:07:46.498+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-21T18:07:46.501+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-21T18:07:46.504+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-21T18:07:46.506+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-21T18:07:46.510+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-21T18:07:46.513+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-21T18:07:46.515+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-21T18:07:46.517+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-21T18:07:46.519+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-21T18:07:46.521+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-21T18:07:46.523+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-21T18:07:46.525+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZM',)
[2025-10-21T18:07:46.526+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CM',)
[2025-10-21T18:07:46.528+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CG',)
[2025-10-21T18:07:46.530+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GA',)
[2025-10-21T18:07:46.532+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GQ',)
[2025-10-21T18:07:46.537+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('KE',)
[2025-10-21T18:07:46.539+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('UG',)
[2025-10-21T18:07:46.541+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TZ',)
[2025-10-21T18:07:46.542+0000] {scd2_loader.py:256} INFO - [SCD2] dim_pays → inserts=0, updates_closed=0
[2025-10-21T18:07:46.543+0000] {scd2_loader.py:287} INFO - Traitement dynamique du fichier: Extract_Station_20251021.xlsx pour map_key=extract_station
[2025-10-21T18:07:47.859+0000] {scd2_loader.py:333} WARNING - 396 lignes ignorées (clés manquantes) dans Extract_Station_20251021.xlsx::Sheet1
[2025-10-21T18:07:47.953+0000] {scd2_loader.py:159} INFO - Pour dim_stations on utilise la clé calculée 'uniq_business'
[2025-10-21T18:07:47.966+0000] {scd2_loader.py:167} WARNING - 3995 lignes ignorées dans dim_stations (clés manquantes ou doublons)
[2025-10-21T18:07:48.355+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0307',)
[2025-10-21T18:07:48.381+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0313',)
[2025-10-21T18:07:48.397+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0206',)
[2025-10-21T18:07:48.404+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0263',)
[2025-10-21T18:07:48.412+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0268',)
[2025-10-21T18:07:48.424+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0271',)
[2025-10-21T18:07:48.446+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0571',)
[2025-10-21T18:07:48.471+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0159',)
[2025-10-21T18:07:48.492+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0354',)
[2025-10-21T18:07:48.523+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0063',)
[2025-10-21T18:07:48.537+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0038',)
[2025-10-21T18:07:48.561+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0050',)
[2025-10-21T18:07:48.584+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0051',)
[2025-10-21T18:07:48.610+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0311',)
