[2025-10-21T18:18:39.789+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:16:28.698559+00:00 [queued]>
[2025-10-21T18:18:39.863+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:16:28.698559+00:00 [queued]>
[2025-10-21T18:18:39.865+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-21T18:18:39.964+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-21 18:16:28.698559+00:00
[2025-10-21T18:18:40.012+0000] {standard_task_runner.py:60} INFO - Started process 6824 to run task
[2025-10-21T18:18:40.030+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-21T18:16:28.698559+00:00', '--job-id', '88', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpsg6_c2e2']
[2025-10-21T18:18:40.048+0000] {standard_task_runner.py:88} INFO - Job 88: Subtask load_to_dw_scd2
[2025-10-21T18:18:40.141+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-21T18:18:40.299+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:16:28.698559+00:00 [running]> on host 436d1e220711
[2025-10-21T18:18:40.509+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T18:16:28.698559+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-21T18:16:28.698559+00:00'
[2025-10-21T18:18:42.641+0000] {scd2_loader.py:287} INFO - Traitement dynamique du fichier: Country_code_20251021.xlsx pour map_key=country_code
[2025-10-21T18:18:45.558+0000] {scd2_loader.py:333} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251021.xlsx::Sheet1
[2025-10-21T18:18:45.745+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-21T18:18:45.749+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-21T18:18:45.752+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-21T18:18:45.755+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-21T18:18:45.758+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-21T18:18:45.761+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-21T18:18:45.764+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-21T18:18:45.768+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-21T18:18:45.772+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-21T18:18:45.775+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-21T18:18:45.777+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-21T18:18:45.778+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-21T18:18:45.780+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-21T18:18:45.783+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-21T18:18:45.786+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-21T18:18:45.788+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-21T18:18:45.790+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-21T18:18:45.792+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-21T18:18:45.795+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-21T18:18:45.797+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-21T18:18:45.799+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-21T18:18:45.802+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-21T18:18:45.805+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-21T18:18:45.806+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-21T18:18:45.808+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-21T18:18:45.810+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZM',)
[2025-10-21T18:18:45.812+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CM',)
[2025-10-21T18:18:45.814+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CG',)
[2025-10-21T18:18:45.816+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GA',)
[2025-10-21T18:18:45.819+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GQ',)
[2025-10-21T18:18:45.822+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('KE',)
[2025-10-21T18:18:45.825+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('UG',)
[2025-10-21T18:18:45.826+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TZ',)
[2025-10-21T18:18:45.827+0000] {scd2_loader.py:256} INFO - [SCD2] dim_pays → inserts=0, updates_closed=0
[2025-10-21T18:18:45.828+0000] {scd2_loader.py:287} INFO - Traitement dynamique du fichier: Extract_Station_20251021.xlsx pour map_key=extract_station
[2025-10-21T18:18:47.045+0000] {scd2_loader.py:333} WARNING - 396 lignes ignorées (clés manquantes) dans Extract_Station_20251021.xlsx::Sheet1
[2025-10-21T18:18:47.134+0000] {scd2_loader.py:159} INFO - Pour dim_stations on utilise la clé calculée 'uniq_business'
[2025-10-21T18:18:47.142+0000] {scd2_loader.py:167} WARNING - 3995 lignes ignorées dans dim_stations (clés manquantes ou doublons)
[2025-10-21T18:18:47.508+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0307',)
[2025-10-21T18:18:47.510+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0313',)
[2025-10-21T18:18:47.512+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0206',)
[2025-10-21T18:18:47.514+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0263',)
[2025-10-21T18:18:47.516+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0268',)
[2025-10-21T18:18:47.518+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0271',)
[2025-10-21T18:18:47.520+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0571',)
