[2025-10-21T19:00:29.407+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:56:18.006068+00:00 [queued]>
[2025-10-21T19:00:29.476+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:56:18.006068+00:00 [queued]>
[2025-10-21T19:00:29.480+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-21T19:00:29.587+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-21 18:56:18.006068+00:00
[2025-10-21T19:00:29.642+0000] {standard_task_runner.py:60} INFO - Started process 7382 to run task
[2025-10-21T19:00:29.673+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-21T18:56:18.006068+00:00', '--job-id', '101', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmp6kr21vg6']
[2025-10-21T19:00:29.696+0000] {standard_task_runner.py:88} INFO - Job 101: Subtask load_to_dw_scd2
[2025-10-21T19:00:29.935+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-21T19:00:30.189+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-21T18:56:18.006068+00:00 [running]> on host 436d1e220711
[2025-10-21T19:00:30.527+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T18:56:18.006068+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-21T18:56:18.006068+00:00'
[2025-10-21T19:00:39.574+0000] {scd2_loader.py:287} INFO - Traitement dynamique du fichier: Country_code_20251021.xlsx pour map_key=country_code
[2025-10-21T19:00:47.107+0000] {scd2_loader.py:333} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251021.xlsx::Sheet1
[2025-10-21T19:00:47.614+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-21T19:00:47.637+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-21T19:00:47.736+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-21T19:00:47.754+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-21T19:00:47.779+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-21T19:00:47.802+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-21T19:00:47.823+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-21T19:00:47.842+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-21T19:00:47.867+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-21T19:00:47.886+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-21T19:00:47.905+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-21T19:00:47.927+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-21T19:00:47.948+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-21T19:00:47.981+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-21T19:00:48.016+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-21T19:00:48.055+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-21T19:00:48.093+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-21T19:00:48.126+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-21T19:00:48.161+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-21T19:00:48.186+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-21T19:00:48.209+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-21T19:00:48.233+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-21T19:00:48.256+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-21T19:00:48.279+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-21T19:00:48.299+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-21T19:00:48.316+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('ZM',)
[2025-10-21T19:00:48.331+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CM',)
[2025-10-21T19:00:48.350+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('CG',)
[2025-10-21T19:00:48.375+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GA',)
[2025-10-21T19:00:48.395+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('GQ',)
[2025-10-21T19:00:48.434+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('KE',)
[2025-10-21T19:00:48.459+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('UG',)
[2025-10-21T19:00:48.481+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_pays clé=('TZ',)
[2025-10-21T19:00:48.508+0000] {scd2_loader.py:256} INFO - [SCD2] dim_pays → inserts=0, updates_closed=0
[2025-10-21T19:00:48.532+0000] {scd2_loader.py:287} INFO - Traitement dynamique du fichier: Extract_Station_20251021.xlsx pour map_key=extract_station
[2025-10-21T19:00:52.091+0000] {scd2_loader.py:333} WARNING - 396 lignes ignorées (clés manquantes) dans Extract_Station_20251021.xlsx::Sheet1
[2025-10-21T19:00:52.240+0000] {scd2_loader.py:159} INFO - Pour dim_stations on utilise la clé calculée 'uniq_business'
[2025-10-21T19:00:52.289+0000] {scd2_loader.py:167} WARNING - 3995 lignes ignorées dans dim_stations (clés manquantes ou doublons)
[2025-10-21T19:00:52.827+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0307',)
[2025-10-21T19:00:52.860+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0313',)
[2025-10-21T19:00:52.884+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0206',)
[2025-10-21T19:00:52.909+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0263',)
[2025-10-21T19:00:52.937+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0268',)
[2025-10-21T19:00:52.966+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0271',)
[2025-10-21T19:00:52.994+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0571',)
[2025-10-21T19:00:53.030+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0159',)
[2025-10-21T19:00:53.068+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0354',)
[2025-10-21T19:00:53.098+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0063',)
[2025-10-21T19:00:53.120+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0038',)
[2025-10-21T19:00:53.139+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0050',)
[2025-10-21T19:00:53.164+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0051',)
[2025-10-21T19:00:53.184+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0311',)
[2025-10-21T19:00:53.204+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0055',)
[2025-10-21T19:00:53.226+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0202',)
[2025-10-21T19:00:53.249+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0204',)
[2025-10-21T19:00:53.264+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0272',)
[2025-10-21T19:00:53.277+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0060',)
[2025-10-21T19:00:53.286+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0231',)
[2025-10-21T19:00:53.296+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0124',)
[2025-10-21T19:00:53.313+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0040',)
[2025-10-21T19:00:53.324+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0043',)
[2025-10-21T19:00:53.333+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0064',)
[2025-10-21T19:00:53.345+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0304',)
[2025-10-21T19:00:53.357+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0467',)
[2025-10-21T19:00:53.374+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0496',)
[2025-10-21T19:00:53.390+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0267',)
[2025-10-21T19:00:53.398+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0269',)
[2025-10-21T19:00:53.412+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0962',)
[2025-10-21T19:00:53.427+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0615',)
[2025-10-21T19:00:53.440+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0963',)
[2025-10-21T19:00:53.451+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0287',)
[2025-10-21T19:00:53.466+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0074',)
[2025-10-21T19:00:53.484+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0076',)
[2025-10-21T19:00:53.494+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0219',)
[2025-10-21T19:00:53.506+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0162',)
[2025-10-21T19:00:53.515+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0346',)
[2025-10-21T19:00:53.528+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0062',)
[2025-10-21T19:00:53.545+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0036',)
[2025-10-21T19:00:53.562+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0102',)
[2025-10-21T19:00:53.581+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0045',)
[2025-10-21T19:00:53.597+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0049',)
[2025-10-21T19:00:53.617+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0309',)
[2025-10-21T19:00:53.637+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0545',)
[2025-10-21T19:00:53.650+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0314',)
[2025-10-21T19:00:53.668+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0315',)
[2025-10-21T19:00:53.682+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('ZW_ZW111S0054',)
[2025-10-21T19:00:53.696+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0360',)
[2025-10-21T19:00:53.713+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0274',)
[2025-10-21T19:00:53.725+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0052',)
[2025-10-21T19:00:53.736+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0054',)
[2025-10-21T19:00:53.749+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0057',)
[2025-10-21T19:00:53.761+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0058',)
[2025-10-21T19:00:53.774+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0197',)
[2025-10-21T19:00:53.785+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0199',)
[2025-10-21T19:00:53.798+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0200',)
[2025-10-21T19:00:53.809+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0203',)
[2025-10-21T19:00:53.820+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0205',)
[2025-10-21T19:00:53.829+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0706',)
[2025-10-21T19:00:53.841+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0065',)
[2025-10-21T19:00:53.855+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0068',)
[2025-10-21T19:00:53.873+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0071',)
[2025-10-21T19:00:53.888+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0073',)
[2025-10-21T19:00:53.904+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0257',)
[2025-10-21T19:00:53.915+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0373',)
[2025-10-21T19:00:53.929+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0332',)
[2025-10-21T19:00:53.939+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0041',)
[2025-10-21T19:00:53.957+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0066',)
[2025-10-21T19:00:53.970+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0417',)
[2025-10-21T19:00:53.984+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0428',)
[2025-10-21T19:00:53.996+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0305',)
[2025-10-21T19:00:54.006+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0083',)
[2025-10-21T19:00:54.016+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0423',)
[2025-10-21T19:00:54.025+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0591',)
[2025-10-21T19:00:54.033+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0666',)
[2025-10-21T19:00:54.040+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0085',)
[2025-10-21T19:00:54.047+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0255',)
[2025-10-21T19:00:54.056+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0078',)
[2025-10-21T19:00:54.064+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0118',)
[2025-10-21T19:00:54.072+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0067',)
[2025-10-21T19:00:54.083+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0261',)
[2025-10-21T19:00:54.097+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0285',)
[2025-10-21T19:00:54.110+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0079',)
[2025-10-21T19:00:54.122+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0451',)
[2025-10-21T19:00:54.137+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0223',)
[2025-10-21T19:00:54.146+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0226',)
[2025-10-21T19:00:54.156+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0227',)
[2025-10-21T19:00:54.164+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0228',)
[2025-10-21T19:00:54.179+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0230',)
[2025-10-21T19:00:54.193+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0237',)
[2025-10-21T19:00:54.206+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0163',)
[2025-10-21T19:00:54.216+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0027',)
[2025-10-21T19:00:54.230+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0028',)
[2025-10-21T19:00:54.254+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0039',)
[2025-10-21T19:00:54.270+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0042',)
[2025-10-21T19:00:54.283+0000] {scd2_loader.py:211} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0273',)
