[2025-10-23T21:36:09.551+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-23T21:32:51.542171+00:00 [queued]>
[2025-10-23T21:36:09.575+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-23T21:32:51.542171+00:00 [queued]>
[2025-10-23T21:36:09.576+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-23T21:36:09.633+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-23 21:32:51.542171+00:00
[2025-10-23T21:36:09.657+0000] {standard_task_runner.py:60} INFO - Started process 1309 to run task
[2025-10-23T21:36:09.699+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-23T21:32:51.542171+00:00', '--job-id', '140', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmp27rgywqp']
[2025-10-23T21:36:09.726+0000] {standard_task_runner.py:88} INFO - Job 140: Subtask load_to_dw_scd2
[2025-10-23T21:36:09.880+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-23T21:36:10.083+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-23T21:32:51.542171+00:00 [running]> on host ca755dafa923
[2025-10-23T21:36:10.274+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-23T21:32:51.542171+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-23T21:32:51.542171+00:00'
[2025-10-23T21:36:11.489+0000] {scd2_loader.py:311} INFO - Traitement dynamique du fichier: Country_code_20251023.xlsx pour map_key=country_code
[2025-10-23T21:36:11.879+0000] {scd2_loader.py:357} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251023.xlsx::Sheet1
[2025-10-23T21:36:12.057+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-23T21:36:12.058+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-23T21:36:12.061+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-23T21:36:12.063+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-23T21:36:12.064+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-23T21:36:12.066+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MG',)
