[2025-10-24T02:06:14.310+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-24T02:00:26.811137+00:00 [queued]>
[2025-10-24T02:06:14.349+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-24T02:00:26.811137+00:00 [queued]>
[2025-10-24T02:06:14.350+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-24T02:06:14.440+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-24 02:00:26.811137+00:00
[2025-10-24T02:06:14.487+0000] {standard_task_runner.py:60} INFO - Started process 5173 to run task
[2025-10-24T02:06:14.558+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-24T02:00:26.811137+00:00', '--job-id', '245', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmpcid_4g9p']
[2025-10-24T02:06:14.604+0000] {standard_task_runner.py:88} INFO - Job 245: Subtask load_to_dw_scd2
[2025-10-24T02:06:14.727+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-24T02:06:14.998+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-24T02:00:26.811137+00:00 [running]> on host ca755dafa923
[2025-10-24T02:06:15.256+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-24T02:00:26.811137+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-24T02:00:26.811137+00:00'
[2025-10-24T02:06:17.155+0000] {scd2_loader.py:312} INFO - Traitement dynamique du fichier: Country_code_20251024.xlsx pour map_key=country_code
[2025-10-24T02:06:17.608+0000] {scd2_loader.py:365} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251024.xlsx::Sheet1
[2025-10-24T02:06:17.840+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-24T02:06:17.843+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-24T02:06:17.857+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-24T02:06:17.860+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-24T02:06:17.873+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-24T02:06:17.879+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-24T02:06:17.885+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MA',)
[2025-10-24T02:06:17.891+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MU',)
[2025-10-24T02:06:17.900+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('RE',)
[2025-10-24T02:06:17.906+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('TN',)
[2025-10-24T02:06:17.917+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('TG',)
[2025-10-24T02:06:17.922+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('TD',)
[2025-10-24T02:06:17.933+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('SN',)
[2025-10-24T02:06:17.940+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ML',)
[2025-10-24T02:06:17.945+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('GH',)
[2025-10-24T02:06:17.950+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('CE',)
[2025-10-24T02:06:17.968+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('CI',)
[2025-10-24T02:06:17.989+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('GN',)
[2025-10-24T02:06:18.007+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ZA',)
[2025-10-24T02:06:18.038+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('BW',)
[2025-10-24T02:06:18.042+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('SZ',)
[2025-10-24T02:06:18.052+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MW',)
[2025-10-24T02:06:18.056+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('AO',)
[2025-10-24T02:06:18.061+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MZ',)
[2025-10-24T02:06:18.068+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ZW',)
[2025-10-24T02:06:18.071+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ZM',)
[2025-10-24T02:06:18.076+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('CM',)
[2025-10-24T02:06:18.095+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('CD',)
[2025-10-24T02:06:18.113+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('CG',)
[2025-10-24T02:06:18.118+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('GA',)
[2025-10-24T02:06:18.121+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('GQ',)
[2025-10-24T02:06:18.124+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('KE',)
[2025-10-24T02:06:18.128+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('UG',)
[2025-10-24T02:06:18.132+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('TZ',)
[2025-10-24T02:06:18.135+0000] {scd2_loader.py:280} INFO - [SCD2] dim_pays → inserts=0, updates_closed=0
[2025-10-24T02:06:18.141+0000] {scd2_loader.py:312} INFO - Traitement dynamique du fichier: Extract_Station_20251024.xlsx pour map_key=extract_station
[2025-10-24T02:06:19.381+0000] {scd2_loader.py:365} WARNING - 2 lignes ignorées (clés manquantes) dans Extract_Station_20251024.xlsx::Sheet1
[2025-10-24T02:06:19.433+0000] {scd2_loader.py:183} INFO - Pour dim_stations on utilise la clé calculée 'uniq_business'
[2025-10-24T02:06:19.443+0000] {scd2_loader.py:191} WARNING - 739 lignes ignorées dans dim_stations (clés manquantes ou doublons)
[2025-10-24T02:06:19.783+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0307',)
[2025-10-24T02:06:19.786+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0313',)
[2025-10-24T02:06:19.789+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_stations clé=('NG_NG111S0206',)
