[2025-10-29T17:07:26.904+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-29T16:57:32.314499+00:00 [queued]>
[2025-10-29T17:07:26.943+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-29T16:57:32.314499+00:00 [queued]>
[2025-10-29T17:07:26.955+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-10-29T17:07:27.044+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): load_to_dw_scd2> on 2025-10-29 16:57:32.314499+00:00
[2025-10-29T17:07:27.057+0000] {standard_task_runner.py:60} INFO - Started process 1409 to run task
[2025-10-29T17:07:27.093+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'etl_pipeline_scd2', 'load_to_dw_scd2', 'manual__2025-10-29T16:57:32.314499+00:00', '--job-id', '271', '--raw', '--subdir', 'DAGS_FOLDER/process_scripts.py', '--cfg-path', '/tmp/tmp_ldcmqxv']
[2025-10-29T17:07:27.117+0000] {standard_task_runner.py:88} INFO - Job 271: Subtask load_to_dw_scd2
[2025-10-29T17:07:27.302+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.11/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-10-29T17:07:27.615+0000] {task_command.py:423} INFO - Running <TaskInstance: etl_pipeline_scd2.load_to_dw_scd2 manual__2025-10-29T16:57:32.314499+00:00 [running]> on host b5b5035930e9
[2025-10-29T17:07:28.207+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_pipeline_scd2' AIRFLOW_CTX_TASK_ID='load_to_dw_scd2' AIRFLOW_CTX_EXECUTION_DATE='2025-10-29T16:57:32.314499+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-29T16:57:32.314499+00:00'
[2025-10-29T17:07:31.772+0000] {scd2_loader.py:312} INFO - Traitement dynamique du fichier: Country_code_20251029.xlsx pour map_key=country_code
[2025-10-29T17:07:33.908+0000] {scd2_loader.py:365} WARNING - 1 lignes ignorées (clés manquantes) dans Country_code_20251029.xlsx::Sheet1
[2025-10-29T17:07:34.143+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('NG',)
[2025-10-29T17:07:34.146+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('YT',)
[2025-10-29T17:07:34.149+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('EG',)
[2025-10-29T17:07:34.151+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ER',)
[2025-10-29T17:07:34.153+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('ET',)
[2025-10-29T17:07:34.155+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MG',)
[2025-10-29T17:07:34.156+0000] {scd2_loader.py:235} INFO - Doublon ignoré pour dim_pays clé=('MA',)
